Total Area,Average Area,Std of Area,Average Diameter,Std of Diameter,Ratio of particles
52913.46239999999,16.122322486288844,49.166767090174226,4.676928702010969,4.198172415165643,0.2190200090408325
No.,Area,Diameter,Location
132,35.193599999999996,9.36,"[155.766230223677, 1955.5387343153297]"
133,20.1312,6.0,"[1635.376251788269, 1952.1626132570336]"
134,0.6048,1.68,"[1299.6349206349205, 1938.7460317460316]"
135,3.9743999999999997,3.36,"[982.7053140096617, 1944.4371980676326]"
136,10.224,5.04,"[359.3521126760563, 1944.9981220657276]"
137,1.4976,2.16,"[1807.7692307692307, 1939.8974358974358]"
138,447.46559999999994,28.08,"[581.7071935809143, 1996.5195983780652]"
139,2.2752,2.6399999999999997,"[2031.6751054852318, 1939.9789029535862]"
140,0.5184,1.44,"[383.59259259259255, 1937.888888888889]"
141,96.192,13.92,"[1352.9984031936126, 1971.294111776447]"
142,5.788799999999999,3.5999999999999996,"[1194.5174129353234, 1940.7578772802653]"
143,75.2832,17.52,"[847.6743177760775, 1967.8777097679163]"
144,1.7855999999999999,2.4,"[1993.543010752688, 1939.3763440860214]"
145,1.0368,2.16,"[1335.9444444444443, 1933.9907407407404]"
146,8.9568,5.52,"[1213.0075026795284, 1942.9785637727757]"
147,17.6256,5.52,"[83.17156862745098, 1941.5631808278865]"
148,0.9792,2.16,"[1643.9901960784314, 1934.0686274509803]"
149,393.72479999999996,28.08,"[1157.507351327628, 2001.5113012947115]"
150,1.0368,1.92,"[886.7777777777778, 1930.611111111111]"
151,0.576,1.44,"[152.95, 1928.85]"
152,1.5263999999999998,3.12,"[138.59748427672955, 1932.7358490566037]"
153,30.7008,8.4,"[1242.0028142589117, 1941.5969355847403]"
154,108.48959999999998,17.28,"[28.42571453853641, 1978.0999911512254]"
155,3.2543999999999995,3.12,"[1999.5103244837758, 1929.8967551622418]"
156,1.2096,2.6399999999999997,"[1813.4920634920632, 1928.1746031746031]"
157,55.87199999999999,13.92,"[509.8295532646048, 1955.918213058419]"
158,1.4112,3.12,"[1539.142857142857, 1925.312925170068]"
159,2.0736,4.08,"[1321.1064814814813, 1931.185185185185]"
160,223.37279999999998,18.72,"[780.9288292934502, 1961.638774282276]"
161,9.072,4.32,"[1374.2391534391534, 1928.3301587301587]"
162,93.5136,15.12,"[1427.8214762344728, 1955.370701160045]"
163,19.008,5.76,"[549.3646464646464, 1930.6181818181817]"
164,90.576,16.08,"[1043.9496555378907, 1952.3566507684152]"
165,0.6335999999999999,1.68,"[1591.5, 1918.030303030303]"
166,1.3823999999999999,2.6399999999999997,"[947.4375, 1919.9583333333333]"
167,14.284799999999999,5.04,"[398.2069892473118, 1925.0551075268816]"
168,0.72,1.68,"[984.7866666666665, 1916.52]"
169,1.2671999999999999,2.16,"[1010.7196969696969, 1917.4469696969695]"
170,22.089599999999997,6.72,"[56.242937853107335, 1926.1512385919166]"
171,39.542399999999994,11.04,"[1560.964068948774, 1938.0636076717647]"
172,6.6815999999999995,3.84,"[967.2284482758621, 1919.0344827586207]"
173,1.0943999999999998,1.68,"[295.5701754385965, 1914.6491228070172]"
174,0.9216,1.92,"[1328.625, 1912.875]"
175,3.9743999999999997,3.5999999999999996,"[146.768115942029, 1917.19806763285]"
176,8.2368,5.04,"[123.18065268065267, 1921.333333333333]"
177,2.5631999999999997,3.12,"[1354.2059925093633, 1913.7790262172282]"
178,0.8063999999999999,2.16,"[1219.940476190476, 1913.5833333333333]"
179,3.2255999999999996,2.6399999999999997,"[1056.8184523809523, 1912.3690476190475]"
180,7.0847999999999995,4.08,"[535.9430894308944, 1915.4444444444443]"
181,4.6655999999999995,3.36,"[1811.0390946502057, 1912.9135802469136]"
182,16.415999999999997,5.76,"[1162.3491228070175, 1920.4830409356723]"
183,1.2671999999999999,2.4,"[1200.0454545454545, 1909.7651515151513]"
184,4.896,3.12,"[601.5843137254901, 1911.1333333333332]"
185,1.6127999999999998,2.16,"[465.375, 1910.375]"
186,0.9503999999999999,2.16,"[1444.939393939394, 1908.7070707070707]"
187,2.9375999999999998,2.6399999999999997,"[639.3071895424836, 1910.7745098039215]"
188,1.7567999999999997,1.92,"[1365.0601092896172, 1907.2240437158468]"
189,1.4687999999999999,2.6399999999999997,"[942.830065359477, 1908.5882352941176]"
190,2.5343999999999998,3.36,"[956.1477272727273, 1908.3598484848483]"
191,2.5919999999999996,2.4,"[2038.4962962962961, 1904.0925925925924]"
192,0.576,2.16,"[1930.7, 1902.4166666666665]"
193,8.927999999999999,5.52,"[841.3225806451613, 1911.1505376344085]"
194,123.55199999999998,23.759999999999998,"[1918.0817404817403, 1925.3369075369076]"
195,5.2128,3.36,"[728.3572744014732, 1902.7734806629835]"
196,0.6048,1.2,"[517.8888888888889, 1898.8253968253966]"
197,15.724799999999998,6.4799999999999995,"[1829.0811965811965, 1911.4273504273503]"
198,20.476799999999997,8.879999999999999,"[1105.090482887951, 1919.584153774027]"
199,0.8927999999999999,3.5999999999999996,"[1.8817204301075268, 1910.247311827957]"
200,7.660799999999999,4.08,"[1983.4373433583958, 1902.251879699248]"
201,2.8511999999999995,3.84,"[1355.23569023569, 1898.5050505050506]"
202,9.446399999999999,4.32,"[996.5884146341464, 1901.6351626016258]"
203,3.8303999999999996,2.88,"[809.1629072681703, 1899.4937343358395]"
204,0.8927999999999999,1.68,"[574.1290322580645, 1897.3870967741937]"
205,7.4879999999999995,4.08,"[1953.4371794871793, 1898.124358974359]"
206,0.576,1.92,"[1568.7, 1895.3833333333332]"
207,1.6992,1.92,"[1781.0564971751412, 1893.0903954802259]"
208,0.9503999999999999,2.4,"[1689.10101010101, 1895.4141414141413]"
209,2.2752,2.6399999999999997,"[1334.1983122362867, 1894.6286919831223]"
210,0.8351999999999999,1.68,"[1160.5057471264367, 1890.6781609195402]"
211,1.2096,2.4,"[1343.547619047619, 1890.126984126984]"
212,115.22879999999999,19.2,"[1745.7550612346913, 1919.1121386320085]"
213,2.9088,2.88,"[1701.095709570957, 1889.2277227722773]"
214,6.508799999999999,4.56,"[1403.8849557522124, 1892.5516224188789]"
215,0.7488,1.68,"[744.5, 1887.6538461538462]"
216,2.7072,4.8,"[496.2836879432624, 1898.4290780141841]"
217,23.615999999999996,6.24,"[42.80731707317073, 1897.3219512195121]"
218,1.5263999999999998,2.16,"[16.031446540880502, 1888.5597484276727]"
219,3.1968,4.08,"[1481.9039039039037, 1892.5165165165163]"
220,3.2832,3.36,"[298.3274853801169, 1888.751461988304]"
221,3.2255999999999996,3.84,"[1288.5744047619046, 1890.9285714285713]"
222,23.356799999999996,8.16,"[1080.0378133990957, 1902.2042745581584]"
223,28.771199999999997,6.72,"[924.8408408408409, 1896.6259592926258]"
224,12.0384,6.0,"[677.7065390749601, 1895.9449760765551]"
225,1.0368,1.68,"[1417.9166666666667, 1881.074074074074]"
226,16.5888,5.76,"[761.96875, 1887.8935185185182]"
227,4.780799999999999,4.08,"[439.9899598393574, 1884.6365461847388]"
228,113.6736,13.68,"[354.72519212904314, 1906.2652647580442]"
229,128.5632,15.84,"[251.1576314217443, 1907.6002837514932]"
230,3.8591999999999995,3.12,"[124.85323383084577, 1882.3333333333333]"
231,26.870399999999997,6.96,"[1800.9510539478383, 1887.289389067524]"
